"","no","year","valor","ent","opt","cons","cve_ent","indicador","ods","obj_ods","c_eje","eje","hex_ods","hex_eje","hex_dimension","hex_obj_est","proyec","sentido","c_dimension","dimension","c_obj_est","obj_est","dif_ab","u_med","unidad_de_medida"
"1",30,1990,29.04103,"Aguascalientes",NA,NA,"1","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"2",30,1990,26.99779,"Baja California",NA,NA,"2","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"3",30,1990,23.86068,"Baja California Sur",NA,NA,"3","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"4",30,1990,27.7292,"Campeche",NA,NA,"4","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"5",30,1990,25.22216,"Coahuila",NA,NA,"5","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"6",30,1990,26.13081,"Colima",NA,NA,"6","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"7",30,1990,45.88686,"Chiapas",NA,NA,"7","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"8",30,1990,27.60676,"Chihuahua",NA,NA,"8","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"9",30,1990,22.30555,"Ciudad de México",NA,NA,"9","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"10",30,1990,31.41181,"Durango",NA,NA,"10","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"11",30,1990,35.61478,"Guanajuato",NA,NA,"11","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"12",30,1990,41.9497,"Guerrero",NA,NA,"12","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"13",30,1990,35.76167,"Hidalgo",NA,NA,"13","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"14",30,1990,27.22723,"Jalisco",NA,NA,"14","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"15",30,1990,33.66979,"México",NA,NA,"15","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"16",30,1990,33.02413,"Michoacán",NA,NA,"16","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"17",30,1990,27.09386,"Morelos",NA,NA,"17","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"18",30,1990,28.58547,"Nayarit",NA,NA,"18","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"19",30,1990,21.15925,"Nuevo León",NA,NA,"19","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"20",30,1990,43.9842,"Oaxaca",NA,NA,"20","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
